name,id_game,quote,effect,unlock,image,quality,pool,item_quality,extension
Pandora's Box,5.100.297,? ?,"Upon use, spawns specific pickups or items depending on the floor it is used on. Disappears after use.",Defeat The Lamb as  Lazarus,imagenes3,2,Red ChestShopShop,activated item,rebirth
Portable Slot,5.100.177,Gamble 24/7,"Upon use, consumes 1   Penny and has a chance to drop a random pickup, like a  Slot Machine.",Unlocked,imagenes3,0,Ultra Secret RoomBeggarShop,activated item,rebirth
Prayer Card,5.100.146,Reusable eternity,Gives an   Eternal Heart per use.,Unlocked,imagenes3,3,Angel RoomTreasure RoomTreasure Room,activated item,rebirth
Razor Blade,5.100.126,Feel my pain,Takes one   Heart of health and grants +1.2 damage for the current room.  Repeated uses in the same room only take half a heart.,Defeat Satan as  Eve,imagenes3,0,Devil RoomCurse RoomDevil BeggarTreasure RoomCurse RoomTreasure Room,activated item,rebirth
Red Candle,5.100.289,Flame on,"Throws out a flame that damages everything in its path, diminishing in size as it hits enemies or blocks shots.",Donate 400 Coins to the Donation Machine,imagenes3,2,Ultra Secret RoomShopShop,activated item,rebirth
Remote Detonator,5.100.137,Remote bomb detonation,Bombs placed by Isaac only explode when Remote Detonator is used. Gives 5 bombs.,Unlocked,imagenes3,1,Bomb BumCrane GameUltra Secret RoomShopTreasure RoomTreasure Room,activated item,rebirth
Satanic Bible,5.100.292,Reusable evil... but at what cost?,Gives one   Black Heart.  Replaces the boss room item on the current floor with a Devil Deal.,Defeat Isaac as  Azazel,imagenes3,4,Devil RoomLibraryTreasure RoomLibraryDevil Room,,rebirth
Scissors,5.100.325,Lose your head,Turns Isaac's head into a stationary familiar for the current room which fires tears automatically.  Isaac's body also shoots a controllable fountain of blood shots for the room.,Die 100 times,imagenes3,1,Treasure RoomTreasure Room,,rebirth
Shoop Da Whoop!,5.100.49,BLLLARRRRGGG!,Fires a laser from Isaac's mouth.,Unlocked,imagenes3,2,Crane GameUltra Secret RoomTreasure Room,activated item,rebirth
Spider Butt,5.100.171,Mass enemy slowdown + damage,Deals 10 damage to all enemies in the room and slows them for 4 seconds.  Enemies killed by Spider Butt spawn Blue Spiders.,Unlocked,imagenes3,1,Treasure Room,activated item,rebirth
Tammy's Head,5.100.38,Reusable tear burst,"Shoots 10 tears in a circle around Isaac, which retain the damage, range, shot speed, and special effects (such as poison) of Isaac's tears. Tears from this item have a +25 flat damage bonus.",Unlocked,imagenes3,2,Golden ChestCrane GameTreasure RoomGolden ChestTreasure Room,activated item,rebirth
Telepathy for Dummies,5.100.192,Temporary psychic shot,Gives homing tears for the current room.  Also gives +3 range.,Unlocked,imagenes3,1,LibraryTreasure RoomLibraryTreasure Room,activated item,rebirth
Teleport!,5.100.44,Teleport!,Teleports Isaac to a random room on the current floor.,Unlocked,imagenes3,0,Crane GameTreasure Room,activated item,rebirth
The Bean,5.100.111,Toot on command,"Isaac farts, poisoning any enemy in close range.",Unlocked,imagenes3,0,BeggarTreasure RoomTreasure Room,,rebirth
The Bible,5.100.33,Temporary flight,"On use, Isaac gains flight for the current room. Instantly kills   Mom,   Mom's Heart, and   It Lives when activated, but kills Isaac when used on   Satan.",Unlocked,imagenes3,1,Angel RoomLibraryShop,activated item,rebirth
The Book of Belial,5.100.34,Temporary DMG up,+2 damage for the current room. Passively guarantees a  Devil Room or  Angel Room will appear while held. +2 damage for the current room. Passively increases the chance of finding a  Devil Room or  Angel Room while held.,Unlocked,imagenes3,2,Devil RoomLibraryLibraryDevil RoomTreasure Room,,rebirth
The Book of Sin,5.100.97,Reusable item generator,"Generates a random pickup, pill, card, or rune.",Defeat all 7 Deadly Sins,imagenes3,2,Devil RoomLibraryTreasure RoomLibraryDevil RoomTreasure Room,activated item,rebirth
The Boomerang,5.100.338,It will never leave you,"Throws a boomerang which retrieves pickups, as well as damages and petrifies enemies hit for 2 seconds.",Unlocked,imagenes3,1,Crane GameShop,activated item,rebirth
The Candle,5.100.164,Reusable flames,"Throws out a flame that damages everything in its path, diminishing in size as it travels.",Donate 900 coins to the Donation Machine,imagenes3,2,Shop,activated item,rebirth
The D6,5.100.105,Reroll your destiny,"Re-rolls all items in the current room into other items, depending on the current room's Item Pool.",Defeat Isaac as  ???,imagenes3,4,Crane GameUltra Secret RoomTreasure RoomShop,activated item,rebirth
The Gamekid,5.100.93,Temporary Man-Pac,"Turns Isaac into a Pac-Man-like creature for 6.5 seconds, granting invulnerability, inflicting fear on all enemies, and has a chance of replenishing a   Half Red Heart every time an enemy is killed.",Visit 10 Arcades,imagenes3,1,Crane GameTreasure RoomTreasure Room,activated item,rebirth
The Hourglass,5.100.66,Temporary enemy slowdown,All enemies in the room are slowed for 8 seconds.,Unlocked,imagenes3,1,Crane GameTreasure Room,,rebirth
The Jar,5.100.290,Save your life,"When at full health, up to 4 extra   Red Hearts can be stored in The Jar. Activating drops the stored hearts on the ground.",Unlocked,imagenes3,0,Shop,activated item,rebirth
The Nail,5.100.83,Temporary demon form,"Gives one   Soul Heart. For the current room; +0.7 damage, -0.18 speed, Isaac breaks rocks and deals contact damage. Gives half a   Black Heart. For the current room; +2 damage, -0.18 speed, Isaac breaks rocks and deals contact damage.",Complete the Boss Rush as  Azazel,imagenes3,2,Devil BeggarDevil RoomDevil Room,activated item,rebirth
The Necronomicon,5.100.35,Mass room damage,Deals 40 damage to every enemy in the room.,Use  XIII - Death 4 times,imagenes3,1,Devil RoomLibrarySecret RoomLibrarySecret RoomDevil RoomTreasure Room,activated item,rebirth
The Pinking Shears,5.100.107,Cut and run,"Separates Isaac's head from his body for the current room, granting flight and turning the body into a familiar that chases enemies.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,,rebirth
The Poop,5.100.36,Plop!,Spawns a pile of   Poop where Isaac is standing and knocks back nearby enemies. May yield pickups like regular poop.,Unlocked,imagenes3,0,Shell GameTreasure Room,activated item,rebirth
Undefined,5.100.324,Undefined,"Teleports Isaac to the  Secret Room,  Super Secret Room,  Treasure Room, or  I AM ERROR.",Complete the Boss Rush as  Eden,imagenes3,2,Treasure Room,activated item,rebirth
Unicorn Stump,5.100.298,You feel stumped,"Gives invulnerability and increased speed for six seconds, but removes the ability to shoot tears.",Unlocked,imagenes3,1,Treasure Room,activated item,rebirth
We Need to Go Deeper!,5.100.84,Reusable level skip,"Creates a trapdoor to go to the next floor.  Once per floor, using it on tiles with special graphics will instead create a  Crawl Space.",Unlocked,imagenes3,2,Devil RoomSecret RoomSecret RoomShop,activated item,rebirth
White Pony,5.100.181,Flight + holy death,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge while also creating damaging beams of light.",Take 10 Angel Room items,imagenes3,2,,activated item,rebirth
Yum Heart,5.100.45,Reusable regeneration,Restores one full   Red Heart.,Unlocked,imagenes3,1,Ultra Secret RoomTreasure RoomTreasure Room,activated item,rebirth
Box of Friends,5.100.357,Double your friends,"Duplicates all of Isaac's familiars for the current room. If Isaac has no familiars, spawns a  Demon Baby for the room instead.",Defeat Ultra Greed as  Lilith,imagenes3,1,Crane GameShopTreasure Room,,afterbirth
D12,5.100.386,Rerolls rocks,Re-rolls all Rocks and Metal Blocks in the current room into other random obstacles. Re-rolls most types of Obstacles in the current room into other random obstacles.,Defeat Hush as  Cain,imagenes3,1,Crane GameTreasure RoomShop,,afterbirth
D7,5.100.437,Roll again,"Restarts the current room and brings back all enemies, allowing more rewards to be acquired by completing the room.",Unlocked,imagenes3,1,Crane GameTreasure Room,,afterbirth
D8,5.100.406,Reroll stats,"Re-rolls Isaac's damage, tears, range, and speed.",Complete PRIDE DAY! (challenge #28),imagenes3,2,Crane GameTreasure RoomShop,,afterbirth
Diplopia,5.100.347,Double item vision,Duplicates all pickups and item pedestals in the room.,Unlocked,imagenes3,3,Shop,,afterbirth
Friendly Ball,5.100.382,Gotta fetch 'em all!,"Throwing the ball at a monster instantly kills and captures it. The captured enemy can later be released and will be friendly, fighting for Isaac and persisting between rooms.",Unlocked,imagenes3,1,Crane GameTreasure RoomTreasure Room,,afterbirth
Glass Cannon,5.100.352,Be gentle...,"Fires a high-damage piercing spectral tear, but lowers Isaac's health to half a heart. Fires a high-damage piercing spectral tear. If Isaac takes damage while holding this, he takes extra damage and it becomes  Broken Glass Cannon.",Unlocked,imagenes3,1,Crane GameTreasure RoomTreasure Room,,afterbirth
Glowing Hourglass,5.100.422,Turn back time,"Rewinds time, putting Isaac back in the previous room and undoing anything that happened in the current room.  Can only be used three times per floor, after which it functions like  The Hourglass until the next floor.",Unlocked,imagenes3,3,Crane GameShopTreasure RoomTreasure Room,,afterbirth
Jar of Flies,5.100.434,Bug catcher,"Killing an enemy adds a fly to the jar, up to a maximum of 20. On use, releases Blue Flies equal to the number of flies in the jar.",Unlocked,imagenes3,2,ShopShopTreasure Room,,afterbirth
Kidney Bean,5.100.421,Love toots!,"Isaac farts, charming all nearby enemies.",Unlocked,imagenes3,1,Ultra Secret RoomTreasure RoomTreasure Room,,afterbirth
Mega Bean,5.100.351,Giga fart!,"Petrifies all enemies in the current room for about 1.5 seconds, poisons any enemies near Isaac, and sends a rock wave across the room in the direction Isaac is facing.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,,afterbirth
Mega Blast,5.100.441,Laser breath,"Upon use, Isaac fires a laser similar to the one used by   Mega Satan. This laser deals massive damage, lasts for approximately 15 seconds, and persists between rooms. Isaac is pushed backwards by the force of the laser while it is active.",Defeat Mega Satan as every character ( except Tainted characters),imagenes3,4,Devil RoomDevil Room,,afterbirth
Mine Crafter,5.100.427,Booom!,"Places a   Movable TNT barrel that can be pushed and used to destroy rocks or damage enemies. If used again in the same room while the previous TNT barrel is still intact, remotely detonates the TNT.",Unlocked,imagenes3,1,Crane GameTreasure Room,,afterbirth
Mom's Box,5.100.439,What's inside?,"Increases luck by 1 and doubles the effects of trinkets while held. When used, drops a random trinket on the ground.",Unlocked,imagenes3,2,Crane GameMom's ChestOld ChestWooden ChestShopShop,,afterbirth
Placebo,5.100.348,Pill mimic,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",Unlocked,imagenes3,2,Secret RoomShopSecret RoomShop,,afterbirth
Tear Detonator,5.100.383,Remote tear detonation!,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head.",Unlocked,imagenes3,1,Crane GameShopTreasure Room,,afterbirth
Teleport 2.0,5.100.419,I-Teleport!,"Teleports Isaac to a room that has not been explored yet. Normal rooms are prioritized over special rooms, and common special rooms take priority over rarer ones.",Unlocked,imagenes3,3,Crane GameTreasure Room,,afterbirth
Ventricle Razor,5.100.396,Short cutter,"Can be used to place an orange portal and a blue portal. Upon entering a portal, Isaac is teleported to the other portal.",Unlocked,imagenes3,1,Shop,,afterbirth
Wooden Nickel,5.100.349,Flip a coin,"When used, has a 50% chance to drop a random coin.",Donate 33 Coins to the Greed Donation Machine,imagenes3,1,Wooden ChestShopTreasure Room,,afterbirth
Black Hole,5.100.512,Nothing can escape,Throws a black hole on the ground which sucks in and damages enemies.,Defeat 20 Portals,imagenes3,1,Treasure RoomShop,,afterbirthplus
Book of the Dead,5.100.545,Rise from the grave,"Creates a friendly   Bony,   Black Bony, or an orbital bone for each enemy killed in the current room.Creates a friendly   Bony,   Black Bony,   Bone Fly,   Revenant or an orbital bone for each enemy killed in the current room.",Defeat Delirium as  The Forgotten,imagenes3,3,Devil RoomLibraryTreasure RoomLibraryDevil RoomTreasure Room,,afterbirthplus
Broken Shovel 1,5.100.550,It feels cursed,"While held, causes Mom to continuously attempt to stomp on Isaac. Activating makes her stop for the current room or wave. One of two parts necessary to create  Mom's Shovel.",Unlocked,imagenes3,4,,,afterbirthplus
Brown Nugget,5.100.504,Friendly fly,Spawns a stationary fly turret that fires tears at nearby enemies.,Defeat Ultra Greed as  Apollyon,imagenes3,0,Shell GameTreasure RoomTreasure Room,,afterbirthplus
Clicker,5.100.482,Change,Transforms Isaac into a random character and removes the last item collected.,Unlocked,imagenes3,0,Treasure RoomShop,,afterbirthplus
Compost,5.100.480,Gain more friends!,"Doubles Isaac's Blue Flies and Blue Spiders, or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders.",Unlocked,imagenes3,1,Secret RoomRotten BeggarShop,,afterbirthplus
Coupon,5.100.521,Allow 6 weeks for delivery,"While held, guarantees one item in every  Shop will be on sale. On use, makes a random item in the current room free.","Purchase anything from Shops, Devil Rooms, and/or Black Markets 50 times",imagenes3,2,Shop,,afterbirthplus
Crooked Penny,5.100.485,50/50,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear.",Defeat Delirium as  Keeper,imagenes3,2,BeggarShopTreasure RoomShop,,afterbirthplus
D Infinity,5.100.489,Reroll forever,"Grants a random die item that changes each use. Acts as any die item, and can by cycled by pressing the drop key.",Defeat Delirium as  Isaac,imagenes3,4,Treasure RoomSecret RoomSecret RoomShop,,afterbirthplus
D1,5.100.476,What will it be?,"Duplicates a random pickup in the room.  The new pickup may be different than the original (i.e. a different card, etc).",Defeat Ultra Greedier as  Isaac,imagenes3,2,Crane GameTreasure RoomShop,,afterbirthplus
Dataminer,5.100.481,109,"Displaces enemy sprites for the current room, randomly increases one stat and decreases another.",Unlocked,imagenes3,0,Ultra Secret RoomTreasure RoomShop,,afterbirthplus
Delirious,5.100.510,Unleash the power!,Spawns   Delirium as a random friendly boss that fights for Isaac.,Defeat Delirium,imagenes3,1,Angel Room,,afterbirthplus
Dull Razor,5.100.486,I feel numb...,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage.",Defeat Delirium as  Eve,imagenes3,1,ShopShop,,afterbirthplus
Eden's Soul,5.100.490,...,Spawns two item pedestals then is consumed. Begins with no charges.,Defeat Delirium as  Eden,imagenes3,3,Angel RoomAngel Room,,afterbirthplus
Mama Mega!,5.100.483,BOOOOOOOOOM!,Damages all enemies and destroys all obstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor's  Secret Rooms and  Super Secret Rooms.,Unlocked,imagenes3,3,Bomb BumShopShop,,afterbirthplus
Metronome,5.100.488,Waggles a finger,Grants a random item effect for the current room.,Defeat Ultra Greedier as  Eden,imagenes3,1,Crane GameWooden ChestTreasure RoomShop,,afterbirthplus
Mom's Shovel,5.100.552,Lost but not forgotten,Creates a trapdoor that leads to the next floor upon activation. Unlocks   The Forgotten when used on a mound of dirt that appears in  Dark Room.,Unlocked,imagenes3,4,,,afterbirthplus
Moving Box,5.100.523,Pack and unpack,"If the box is empty, picks up items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room.  Can carry up to 10 items or pickups at once.",Use Pandora's Box in Dark Room,imagenes3,1,Shop,,afterbirthplus
Mr. ME!,5.100.527,Caaan do!,Summons a controllable ghost that can perform various tasks depending on what it targets.,Open 20 Locked Chests,imagenes3,3,Crane GameKey MasterWooden ChestShopShop,,afterbirthplus
Mystery Gift,5.100.515,Wrapped up nice for you!,"Upon use, spawns a random item from the current room's item pool, with a chance to spawn  A Lump of Coal or  The Poop instead.",Destroy 500 rocks,imagenes3,3,Crane GameShopShop,,afterbirthplus
Pause,5.100.478,Stop!,Freezes all enemies until a fire button is pressed.,Unlocked,imagenes3,1,Crane GameTreasure RoomShop,,afterbirthplus
Plan C,5.100.475,My last resort,"Kills all enemies in the room, then kills Isaac three seconds later.",Defeat Ultra Greedier as  Lazarus,imagenes3,0,Ultra Secret RoomCurse RoomDevil BeggarDevil RoomRed ChestShopCurse RoomShop,,afterbirthplus
Potato Peeler,5.100.487,A pound of flesh,"Removes a Heart Container, increases damage and range, and grants a Cube of Meat.",Unlocked,imagenes3,2,Devil BeggarShopShop,,afterbirthplus
Sacrificial Altar,5.100.536,He demands a sacrifice,Sacrifices up to 2 familiars and spawns an item for each familiar sacrificed. Converts all friendly spiders and flies into coins.,Take 50 Deals with the Devil,imagenes3,2,Curse RoomDevil RoomCurse RoomDevil Room,,afterbirthplus
Sharp Straw,5.100.507,More blood!,Damages all enemies in the room. Has a chance to drop a   Half Red Heart or   Half Soul Heart if an enemy is hit.,Unlocked,imagenes3,2,Treasure RoomTreasure Room,,afterbirthplus
Smelter,5.100.479,Trinket melter!,Consumes Isaac's currently held trinket and applies its effect permanently.,Defeat Mom's Heart or It Lives! on Hard mode as  Apollyon,imagenes3,2,Shop,,afterbirthplus
Sprinkler,5.100.516,Sprinkles.,"Upon use, creates a stationary sprinkler that rotates and fires tears in 8 directions. The tears copy Isaac's stats and most tear effects.",Beat Chapter 1 without taking damage,imagenes3,2,Crane GameTreasure RoomShopTreasure Room,,afterbirthplus
Telekinesis,5.100.522,Power of the mind,"Upon use, for the next three seconds, any enemy shots that come near Isaac are held in place and then later reflected.",Beat Chapter 2 without taking damage,imagenes3,1,Treasure RoomTreasure Room,,afterbirthplus
Void,5.100.477,Consume,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant random stat upgrades.",Defeat Delirium as  Apollyon,imagenes3,4,Angel RoomDevil RoomShop,,afterbirthplus
Wait What?,5.100.484,I can't believe it's not butter bean!,"Isaac farts, sending out rock waves.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,,afterbirthplus
Abyss,5.100.706,Come forth from the depths,Destroys all items in the room and gives Isaac a unique locust familiar for each item destroyed. Some items generate locusts with special effects.,Defeat Delirium as  Tainted Apollyon,imagenes3,4,Devil RoomUltra Secret RoomDevil Room,,repentance
Alabaster Box,5.100.585,A sacred offering,"Spawns three   Soul Hearts and two  Angel Room items and is consumed. Starts with no charges, and can only be charged by picking up 6 Soul Hearts.",Defeat The Lamb as  Bethany,imagenes3,2,ShopShop,,repentance
Anima Sola,5.100.722,Repent,"Chains down the nearest enemy for 5 seconds, preventing them from acting.",Defeat Delirium as  Tainted Jacob,imagenes3,3,Treasure RoomShopTreasure Room,,repentance
Bag of Crafting,5.100.710,Make your destiny,"Collects and holds up to 8 pickups, which can then be used to craft an item. The power level of the item is based on the quality of pickups used.",Defeat Delirium as  Tainted Cain,imagenes3,3,Treasure RoomTreasure Room,,repentance
